,,,,,,,,
,Fund Name,Fund Code,Stock Code,Previous %,Current %,Change %,Change Points,Status
,QUỸ ĐẦU TƯ GIÁ TRỊ MB CAPITAL,MBVF,TCB,13.08%,10.45%,-2.63%,-2.63,CHANGED
,QUỸ ĐẦU TƯ CHỦ ĐỘNG VND,VNDAF,MBB,11.44%,8.86%,-2.58%,-2.58,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DÀI HẠN VIỆT NAM,VLGF,ACB,7.31%,4.73%,-2.58%,-2.58,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC NĂNG ĐỘNG VINACAPITAL,VDEF,HPG,7.19%,4.70%,-2.49%,-2.49,CHANGED
,QUỸ ĐẦU TƯ BẢN VIỆT DISCOVERY,VCAMDF,CMG,2.43%,0.00%,-2.43%,-2.43,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG BALLAD VIỆT NAM,TBLF,TCB,4.27%,1.88%,-2.39%,-2.39,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG MIRAE ASSET VIỆT NAM,MAGEF,TCB,6.91%,4.65%,-2.26%,-2.26,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TIẾP CẬN THỊ TRƯỜNG VINACAPITAL,VESAF,TCB,6.09%,3.98%,-2.11%,-2.11,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG BORDIER - MB FLAGSHIP,BMFF,ACB,15.32%,13.50%,-1.82%,-1.82,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG BORDIER - MB FLAGSHIP,BMFF,TCB,9.36%,7.60%,-1.76%,-1.76,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG BORDIER - MB FLAGSHIP,BMFF,VIB,8.33%,6.64%,-1.69%,-1.69,CHANGED
